,Eigenvector_value,L140_IRI,L149_IRI,L062_IRI,N048_IRI,N068_IRI,N090_IRI,N098_IRI,L005_IRI,L027_IRI,L031_IRI,L072_IRI,L074_IRI,L078_IRI,L102_IRI,L115_IRI,L133_IRI,L137_IRI
KLHL15,-0.0038764449547715376,-0.2735853286727951,0.3948186135575157,-0.01831280452802367,-0.8461499458947933,-0.34176146002704527,-0.7977465863101558,-0.6896326587238503,0.7127798550497845,1.094612970526022,0.6172966913052477,-0.5095801884360887,-0.9752354071900803,-0.4769099188548281,-0.8474711676147815,1.965845216092288,1.9305731766308472,-0.9395410569092641
XPNPEP3,-0.005666364500807155,-0.631170612945878,-0.26165728154712037,-0.424397527622905,-1.2025069015552545,1.0735031805799644,-1.0351473515165892,-0.8395629750192825,-0.4013512592102084,2.6292906381386434,-1.102799249642766,0.347644350050608,0.8525944241358816,0.3189308964023852,1.0425632742778363,0.7525663849389161,-0.1131284539450345,-1.0053715355192023
NT5E,-0.0035010350409382597,-0.09546104351775779,-0.13111291588922863,-0.2727823726927049,-0.45840570275540693,-0.39836863147643825,-0.24764259587737197,-0.4092899909318565,-0.48380735701515915,-0.4835883822524378,0.5872102150995488,-0.46495016032163766,1.0813942669307965,-0.4693051396742428,-0.5126329485781373,3.6108628411646437,-0.38450557147911213,-0.4676145107334987
GPATCH2L,-0.002660323929977804,-1.0171130965384425,-0.9915022445253495,-1.1756807803829952,-0.644463026096266,0.019069078028756604,0.7958466501396874,0.1084593796335846,0.03286613414654599,2.01150250148072,-1.526772575432742,0.9078014545308545,-0.6529151953138368,0.9198589526804002,-0.11053103421045209,-0.3750944567501769,-0.13737560844532729,1.83604386705504
CERKL,-0.0015357326444430635,0.10057080287237204,0.20192239820245403,-0.08445403811555147,-1.1204356120199526,-0.13039827015515912,0.03216265011988742,-0.38709528851737623,1.374768418363501,2.077206894459521,-0.9260500365140418,0.40263038146435687,-0.450300164715632,0.7975656445625459,1.3767414583218605,-0.16959106791127845,-1.6526324876786707,-1.4426116827388327
GNAQ,-0.0019618016117973003,0.03832107667552564,-0.3741569295336609,0.012241349823638293,-0.2782065703550562,-0.49441962098263437,-0.455488625315916,-0.35014866450015236,-0.560292946466542,3.417222543657935,-0.46600112704151087,-0.3587909645799071,0.07295124719056272,0.10166133805150543,-0.2833024608917237,0.13577139994324108,0.16732207449026162,-0.32468312016556516
NBPF1,-0.006949127638069301,-1.0520538275700397,-0.3641397700779797,0.05907215695908232,-1.3905552829841623,0.14159011645142622,-1.1096716756686469,-0.34192637832064604,-1.190082207896457,0.0372228248766351,-0.46775303471751817,-0.5051960556260439,1.1486614792389485,0.6238566503226044,1.3247515029023198,2.455496872466671,0.9062802100296764,-0.275553580385866
ZNF141,-0.005917049463036766,-1.3294621039213996,-0.6921062744099304,-0.9369781755471834,0.22547439901564317,0.5798098749874209,-1.032339264012592,-0.5592900458589648,-0.7310688219719438,1.1018873275244367,0.1068730591340993,2.6094100426117737,0.42449348805103926,0.07810401781798224,-0.3418415028640329,0.6713368130015851,-1.2194801452697939,1.0451773117118766
ANKRD44,-0.0027728570200818608,-0.0964922535098395,-0.6973879774357269,0.09202476662196973,-0.06419184721625004,0.1277618056801558,-0.7523532264670733,-0.8565151517049772,-0.785502510384228,2.0467332709798796,-0.35174734154033593,1.6037776726977533,-0.2780750537463044,-0.629752930768952,-0.7365737854152283,2.042519650579752,-0.7609700233986143,0.09674493502801827
TIMM8A,-0.0017069784601812853,-0.41862733422681814,0.26994703086367267,-0.6147711695545124,-0.971392823373269,1.3267509839756206,-0.22781125265295535,0.5838952385558313,-1.899168830059632,1.0307340482611507,1.7157296309549517,0.9176771847027971,-0.9936256221424126,0.8165375006858716,-0.2559078987832352,0.024139392303155212,0.3727469871825724,-1.6768530666927886
