tracking_id,L027,L072,L078,L140,L102,L115,L133,L137,L149,L074,N048,N068,N090,N098,L005,L101,L062,L031
MMP16,0.00262201,0,0.00505835,0,0.00502818,0,0,0,0,0,0.0023851,0.0046665,0.00236521,0,0,0,0.00221808,0
MMP17,0.514195,0.598407,0.663183,0.619829,0.874633,1.61935,1.82881,0.245764,0.509165,0.361571,1.5899,0.289908,0.560997,0.11451,0.442666,0.241742,1.25495,0.121312
MMP19,1.68302,1.36869,0.738703,2.98456,1.35173,1.26031,1.15524,1.72693,2.70946,2.01729,1.32683,1.90201,1.51157,1.08484,1.04921,1.3637,1.99028,1.11774
MMP2,0.0287924,0.0346739,0.268225,0,0.29283,0,0.051224,0.0335848,0.0765862,0.0194401,0.039616,0.0256176,0.129789,0.00958713,0.101784,0.00971454,0.00921811,0.0487349
MMP20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP21,0,0,0,0.105846,0.00890667,0,0,0.027792,0.115539,0.00828702,0.0168418,0.00826633,0.0250975,0.0326154,0.0288597,0.00939498,0.0392665,0
MMP23A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP23B,0.273916,0.579138,0.776488,1.02159,0.597637,0.390949,0.3493,0.332446,1.07822,0.475107,0.618297,0.162348,0.423832,0.25276,0.251377,0.614205,0.680827,1.29015
MMP24,0.0272005,0.0247196,0.022485,0.19384,0.0111764,0.0120257,0.0398391,0.0466408,0.0832934,0.0138539,0.105961,0.0829807,0.0805872,0.150492,0.0201574,0.0314763,0.115026,0.0347302
MMP24-AS1,16.1872,24.8552,26.7755,21.2993,21.1699,19.0402,22.7532,29.1048,16.5853,19.0833,33.3651,20.9119,26.7078,26.2897,27.2091,31.9662,16.725,34.9483
MMP25,0.373389,1.15259,1.95258,0.571048,4.40106,0.365321,0.985283,0.947516,2.12118,0.588853,2.27014,0.315178,2.93865,2.56887,1.1915,0.785013,0.902725,2.42243
MMP25-AS1,1.43493,4.25457,2.49246,9.9882,2.31371,1.74026,2.43532,3.2816,6.73323,1.66575,3.83002,5.70409,4.97432,4.36505,3.01928,2.8951,4.45983,4.71527
MMP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP28,3.57729,3.79108,1.04705,4.03095,10.1931,1.88962,3.47101,3.61256,0.676229,1.71181,4.15395,14.6575,3.93015,2.84158,4.19204,3.03969,1.78962,1.2278
MMP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP7,0.0171772,0,0.0661298,0.0138671,0.148059,0,0.029181,0,0.0143459,0.0153246,0.21688,0,0.030846,0.0299972,0.0354386,0,0,0.0191567
MMP8,0.0392754,0.00509504,0.00540967,0.0229016,6.63725,0.0173522,0.00958016,0,0.00926522,0.155048,0,0,0,0,0.705255,0,0,0
MMP9,0.0898076,0.0951302,0.0288547,0.054889,11.764,0.0462658,0.197905,0.881284,0.0681077,0.100084,4.39195,0,1.19981,2.62923,1.13962,0.234655,0.107539,0.0334288
MMRN1,0.380788,0.226652,0.653276,0.0551428,1.82224,0.090399,0.100791,0.192189,0.277681,0.102118,0.180774,0.218892,0.224889,0.172088,0.230797,0.20817,0.0798088,0.176958
MMRN2,0.0040354,0.0330048,0.0467003,0.0296962,0.00386887,0,0.0241327,0.012108,0.0432565,0,0.0110031,0.0287249,0.00727705,0.0284132,0.0418643,0.0163434,0.0170646,0.00901667
MMS19,13.7825,12.6992,12.337,28.2392,13.7499,13.4622,11.0802,10.5797,19.8389,14.5846,11.532,19.4959,16.3976,15.1256,9.56624,11.0463,16.6207,11.0078
MMS22L,0.785682,0.834031,0.774505,0.943761,0.839333,0.431118,1.04039,0.769686,1.10472,0.763079,0.661198,0.812897,0.982472,1.10581,0.699007,0.58156,0.980955,0.58392
MN1,0.0743922,0.236729,0.265946,0.0914059,0.182528,0.0293598,0.258167,0.107356,0.205305,0.0896991,0.159266,0.0467306,0.150023,0.0886821,0.188552,0.152946,0.144384,0.146702
MNAT1,6.5256,7.69503,6.59659,7.5071,7.43322,8.94875,9.7139,9.61962,7.23871,7.71952,5.00129,6.39087,5.71592,6.07304,7.54685,10.3775,6.79513,12.8122
MND1,0.379458,1.11465,1.77415,0.237367,1.85688,0.0254084,4.00974,0.500587,1.22425,1.31688,0.436277,0.168603,0.283578,0.476973,0.542752,1.07115,0.713391,1.46068
MNDA,1.95293,2.95266,35.5694,1.14564,42.0006,2.44533,3.34536,0.918328,6.9252,5.34069,2.49462,0.656121,1.79607,0.285291,4.085,2.69673,2.26385,1.00514
MNS1,0.061283,0.0635681,0.0590577,0.0356272,0.100681,0.0991782,0.0597102,0.13967,0.0725173,0.117086,0.039675,0.0467213,0.0472899,0.0153667,0.0362547,0.00885222,0.0887783,0.146616
MNT,8.03781,7.20482,7.66211,9.62874,6.51499,3.94291,6.09359,16.5446,7.75078,6.63338,23.7586,8.8586,23.1913,24.8874,24.9539,13.8607,8.02832,7.16274
MNX1,0,0.0101621,0.00779102,0.0131675,0.0107349,0.0345861,0.0381651,0,0,0,0.0219887,0,0,0.0141945,0.0115867,0.0113185,0,0
MNX1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOAP1,26.0319,52.5466,28.5135,50.2585,36.2689,35.5349,41.2295,93.2755,39.3512,35.4264,91.9232,32.0119,64.7496,80.7038,74.1593,74.7778,42.5091,64.327
MOB1A,53.687,41.0139,76.9903,41.7106,52.5331,55.1345,60.8427,60.509,55.5833,66.2068,83.4929,34.4149,63.6594,68.3739,95.4384,59.747,53.1875,72.9155
MOB1B,2.61099,1.91043,1.87169,3.77315,2.76445,2.19077,1.43574,2.56627,3.55795,2.06194,3.42107,2.78822,3.91637,3.27884,4.62143,2.1315,5.17039,1.26192
MOB2,29.4025,33.3704,31.657,30.5804,29.7608,38.7927,34.2434,35.7175,28.7779,28.102,43.4249,29.0429,27.133,35.625,30.6726,37.0382,26.9373,32.8813
