,L140,L149,L062,N048,N068,N090,N098,L005,L027,L031,L072,L074,L078,L102,L115,L133,L137
PLEKHF2,0.00593064801896,0.005223082,0.00553271995157,0.000206931,0.0044895057572799995,0.002179449,0.00225075021321,0.00139912522766,0.0072063361996499995,0.00025024723945200005,0.0018533979999999998,0.0026187729079699996,0.00155504579528,0.0012441475265,0.002744151,0.000352121344362,0.00134503620941
RPS15,0.00405927775323,0.006573106,0.00372324145498,0.002306725,0.0017094900354900002,0.00351338,0.00345839734634,0.0009555167609349999,0.0013446508028799999,0.00042531500811900005,0.00193002,0.00111776262449,0.0007977276157839999,0.0011042236312599999,0.0008546510000000001,0.00170681994821,0.00155462050801
ASPSCR1,0.024744977410900003,0.035041592,0.0157518335095,0.017016498999999997,0.017970734190099997,0.034861504,0.030943057182,0.004391514797380001,0.00372268515091,0.0017258828135899998,0.009699503,0.0031807160466,0.0035178991603700004,0.00480355325984,0.0033013829999999997,0.00870751027407,0.0100152813661
GPATCH11,0.107569181097,0.068189162,0.0404112173399,0.016658375,0.00732320775475,0.040060818,0.033494398891,0.006163578846359999,0.00865769674503,0.0104968598018,0.010011751,0.012070324399600001,0.006552502606479999,0.0032264983134099997,0.00468392,0.00909659491476,0.0207913056675
TPCN2,0.0370607492839,0.027436926,0.018905103286,0.040309081000000004,0.0171199492065,0.04693091,0.051645232501999996,0.00849150450246,0.00652093142437,0.00608596284449,0.012600327,0.00812603887283,0.00633215658228,0.00690914277362,0.006326761,0.007079091759369999,0.014012927522
ZSWIM8,0.03406874075,0.033938353,0.0242476421885,0.02273869,0.0195062257016,0.042611789000000004,0.0387465929725,0.011554814225200001,0.008559435938,0.0020358660200499997,0.01083999,0.0044349062811599995,0.0058815561818,0.00359143218628,0.004237016,0.009279448488290001,0.0189571255857
CD8B,0.00382960823801,0.0029980320000000003,0.00176125960266,0.001010787,0.00195293202961,0.001922458,0.00154212183985,0.0006329025852300001,0.00067193346447,0.0007841704715319999,0.0009640089999999999,0.0006471260168840001,0.000528514176439,0.000927256807423,0.000755479,0.0007063007963819999,0.0006166592051259999
DENND1A,0.000912375329978,0.000795088,0.000781263779781,0.000795435,0.000631946286321,0.000865367,0.000793365475553,0.000539924303191,0.00259875588037,0.000412761397075,0.000731358,0.000379122365834,0.000533136787658,0.00043152468797400006,0.000327474,0.0006584321333949999,0.00065028532622
ISG20,0.0326297878559,0.026026577000000002,0.023916549568,0.018828326,0.0174972660794,0.041032712,0.0340275886644,0.00563505780988,0.00621408801328,0.00228166579591,0.009961224,0.0036536700656,0.0037230878811799996,0.00569452921505,0.002250379,0.00485311448437,0.013836020802
MANEA,0.0332232016178,0.020492896,0.0206901631656,0.015781804,0.007774423173370001,0.024534855,0.0253315218542,0.00871226718744,0.0109726267102,0.006342489630399999,0.009191484,0.006717746050840001,0.008058889740600001,0.00945196030563,0.00728506,0.009325019456389999,0.0197680482905
TMEM216,0.0246307449152,0.022870882999999998,0.0123123931733,0.022235415,0.006377466534770001,0.032393959,0.031146549172,0.0018165307509500001,0.00317204452888,0.00358836544947,0.008143771,0.00276062835989,0.00434706476499,0.00386771308118,0.001794854,0.00528671407304,0.011396571535399998
WDR18,0.0566537948075,0.0398115,0.024920992346900005,0.032965938,0.0194560139033,0.050584762,0.0536659769782,0.0102517957016,0.007324774152049999,0.00224951834883,0.013668018999999998,0.0037497139260900003,0.0023890869501799997,0.00633597604652,0.004041829,0.00288733952133,0.0161466409475
DENR,0.0498862883172,0.027519345,0.017018911179,0.023647612000000002,0.011957134447899998,0.052977342999999996,0.037591169075699996,0.00563151387124,0.0029717136694000002,0.00123429349444,0.005586914,0.00142167581519,0.00181335573225,0.00191780147088,0.001310996,0.0033267339887699996,0.0113141810393
DPM2,0.320317643405,0.261146057,0.22754686414500006,0.421763358,0.18440821174600003,0.332080289,0.46502900145000003,0.252750301219,0.174898843629,0.186977519973,0.24503299899999997,0.1738210506,0.114530446393,0.217774369151,0.177234095,0.1974123441,0.358069870335
AHCY,0.00623390405993,0.004168053,0.00344052316429,0.002246534,0.00211186178586,0.003503661,0.00398206431415,0.00109728961395,0.00124233976962,0.00118202841684,0.0015619260000000002,0.000747744926029,0.00109191023726,0.0008503745336390001,0.0011024539999999999,0.0016591660038,0.0019391818484200002
MPG,0.0291351465808,0.024717625,0.0155224946926,0.014766943999999999,0.0183023476267,0.022022907999999997,0.012149162752399998,0.012288593153899999,0.009804583430020001,0.0076182703971400005,0.011240462,0.0075275601192,0.00702057691148,0.00884021183219,0.0041256159999999995,0.0054590398163900005,0.0123321072039
PARP2,0.0262562760142,0.02204608,0.0168937676628,0.01371929,0.00912456658216,0.024840808,0.030775394344599995,0.0024144623053600003,0.00154506652343,0.000162115558918,0.011816637,0.0025546996727,0.00119695676659,0.0032681278196,0.003768396,0.00358726687675,0.00848150954304
SLC10A7,0.0027132575981000003,0.0014872129999999998,0.00104275204804,0.000818893,0.000632293727878,0.001619355,0.0006912608419630002,0.000766044674577,0.00203577001415,0.000895489300671,0.001366733,0.00110576622272,0.00042788654072300006,0.000942720695837,0.001301862,0.000606406287025,0.00111453630948
ERAP2,0.0262623166987,0.060335445999999994,0.0100727381211,0.02088206,0.004514366172840001,0.04813301,0.036493795504999996,0.013982891917700002,0.0025633895482600005,0.0086909244663,0.002458794,0.0013686747656700001,0.00142856135973,0.0022864162971999997,0.001541146,0.0016145727468099998,0.006466289439399999
PAPD7,0.107584000236,0.10113448900000001,0.08974043771,0.065646339,0.0708227240723,0.070370295,0.0646635601954,0.0131993519719,0.0680653948522,0.0126668850165,0.066370428,0.057422248491699995,0.0525263968389,0.0646122089953,0.047781015999999996,0.06542656741719999,0.08001358096469999
UBLCP1,0.0212163518906,0.013890613000000001,0.0121416440389,0.004290299,0.00414688273002,0.01237656,0.0107856937046,0.0018746712751300002,0.0030241240502199996,0.00139006966429,0.005563453,0.0019263952950899998,0.0014690425505199999,0.0033707714043200005,0.001193648,0.0023042907549400003,0.0046755597583
PPP1CA,0.00980611956461,0.012705835,0.008517202754920001,0.011440273,0.00642800875122,0.019937517,0.023062251995099998,0.005971411945569999,0.00430609526854,0.0033677578042,0.006778561,0.00413354989893,0.00470669758942,0.005133134311760001,0.003816439,0.00373124422625,0.00734442521316
CLASP1,0.00404785869083,0.0030955170000000003,0.002908639235,0.001710745,0.00162292155696,0.001979184,0.00214172223291,0.00081312305614,0.0040448092272700005,0.00116349322419,0.001828221,0.00202612123624,0.0019594755911300004,0.0017021127029499998,0.0020948110000000002,0.00230721481859,0.00177192391175
NUP50,0.0489453729981,0.031617367,0.0188151715745,0.02362725,0.00976606283547,0.036860699999999996,0.0346019308294,0.00495877198293,0.0038072202776999998,0.0015408786058499998,0.006589335,0.00282006710027,0.0031840454585,0.0027697094074299994,0.0015613060000000002,0.004767216789239999,0.0131352249852
ACBD5,0.0183814752518,0.011894466999999999,0.014843801004000004,0.0030119120000000003,0.013024899472399999,0.0102338,0.010060123402,0.00169057004372,0.006552584782500001,0.0007386733814960001,0.005844059,0.00397237863276,0.00229369367126,0.0030012375073200006,0.001092684,0.004616669433520001,0.00596429433082
CASP8AP2,0.00866486407606,0.007081295,0.00537406839675,0.0060274740000000005,0.005510741273310001,0.006269222,0.00650241421477,0.00326449674557,0.0035312083681700002,0.0030950218058499995,0.005686435,0.0041614247034299995,0.00225625667057,0.0036417004282800003,0.004014124,0.0038393591232,0.0067476307127600004
NADK2,0.047407638580800014,0.036112948,0.0350348067323,0.015021673999999999,0.0198465587343,0.027929946,0.028041192618,0.00600504076204,0.012918012261900001,0.00406369811485,0.014241502,0.009424212618350001,0.009369850148969999,0.010975502822399999,0.012672757,0.0112373093072,0.015949898219899998
TNK2,0.0314719799188,0.032523445,0.0238292474123,0.014954348000000001,0.017273412078099997,0.031706406,0.027572721345900005,0.00627140883437,0.00834734993579,0.00274974400876,0.011425002,0.006632977755520001,0.00484450230295,0.00682886029232,0.004312358,0.00982584436674,0.0119994519208
